"Wordsworth, William"
Letter 3.956 27 June 1804 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.956.html
Letter 3.962 [between 6 July–end of July 1804] (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.962.html
Letter 3.979 [early–c. 22 October 1804],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.979.html
Letter 3.992 23 November 1804 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.992.html
Letter 4.1734 17–21 January 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1734.html
Letter 4.1746 11 February 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1746.html
Letter 4.1776 4 May 1810 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1776.html
Letter 4.1807 19 September 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1807.html
Letter 4.1809 29 September 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1809.html
Letter 4.1837 7 December 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1837.html
Letter 4.1851 10 January 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1851.html
Letter 4.1858 25 January 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1858.html
Letter 4.1864 3 February 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1864.html
Letter 4.1871 16 February 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1871.html
Letter 4.1886 20 March 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1886.html
Letter 4.1889 24 March 1811 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1889.html
Letter 4.1890 28 March 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1890.html
Letter 4.1962 10 October 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1962.html
Letter 4.2001 16 December 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2001.html
Letter 4.2007 before 28 December 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2007.html
Letter 4.2075 10 April 1812 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2075.html
Letter 4.2083 25 April 1812 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2083.html
Letter 4.2125 23 July 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2125.html
Letter 4.2141 1 September 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2141.html
Letter 4.2161 21 October 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2161.html
Letter 4.2179 18 November 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2179.html
Letter 4.2188 6 December 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2188.html
Letter 4.2189 10 December 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2189.html
Letter 4.2207 20 January 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2207.html
Letter 4.2235 24 March 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2235.html
Letter 4.2248 17 April 1813 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2248.html
Letter 4.2264 26 May 1813 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2264.html
Letter 4.2267 6 June 1813 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2267.html
Letter 4.2281 16 July 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2281.html
Letter 4.2348 15–17 December 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2348.html
Letter 4.2351 18 December 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2351.html
Letter 4.2352 18 December 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2352.html
Letter 4.2390 11 March 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2390.html
Letter 4.2391 14 March 1814 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2391.html
Letter 4.2439 14 June 1814 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2439.html
Letter 4.2442 15 June 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2442.html
Letter 4.2462 27 July 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2462.html
Letter 4.2465 started before and continued on] 2–3 August [1814],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2465.html
Letter 4.2467 7 August 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2467.html
Letter 4.2480 10 September 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2480.html
Letter 4.2482 25 September 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2482.html
Letter 4.2484 9 October 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2484.html
Letter 4.2487 16 October 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2487.html
Letter 4.2492 22[–23] October 1814 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2492.html
